"PLOT","Accession","LOC","Year","REP","Block","Design","Trial","Settweight","NPH","Vigor","AUDPC_YMV","rAUDPC_YMV","AUDPC_YAD","rAUDPC_YAD","Yield.per.plot..kg.","TTNPL","TTWPL","Yield_udj","YIELD","ATW","DMC","Oxint180Minutes","OXBI"
1123,"TDr1719027","Ikenne",2020,1,1,"Partial replicated","TFE",NA,5,2,180,0.015,150,0.0125,1.05,1,0.21,2.1,2.1,0.21,NA,NA,NA
1195,"TDr1716015","Ibadan",2020,1,1,"Partial replicated","TFE",NA,NA,2,150,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"TDr8902665","Ibadan",2020,1,17,"Augmented","APT",0.74,4,3,313.75,0.026145833,197.5,0.016458333,5.89,1,1.5,11.78,11.78,1.47,30.67,0,-0.23
609,"TDr1756018","Abuja",2020,1,4,"Augmented","SCG",0.45,3,2,190,0.021111111,105,0.011666667,3.8,2.333333333,1.266666667,12.67,12.67,0.54,NA,NA,NA
720,"TDrMeccakusa","Abuja",2020,1,6,"Augmented","SCG",0.266,1,3,270,0.03,150,0.016666667,1.2,1,1.2,12,12,1.2,NA,NA,NA
735,"TDr1756004","Abuja",2020,1,6,"Augmented","SCG",0.346,3,3,205,0.022777778,135,0.015,3.5,1.333333333,1.166666667,11.67,11.67,0.88,NA,NA,NA
505,"TDr1773029","Abuja",2020,1,2,"Augmented","SCG",0.238,3,3,190,0.021111111,140,0.015555556,3.1,3,1.033333333,35.33,10.33,0.34,NA,NA,NA
2020,"TDr1738038","Ikenne",2020,2,2,"Partial replicated","TFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,"TDr1618507","Ibadan",2020,3,15,"Lattice","PPT3",0.72,4,3,239,0.019916667,147,0.01225,8.48,1,2.1,16.96,21.2,2.12,28.67,3,0.45
478,"TDr1768006","Abuja",2020,1,2,"Augmented","SCG",0.45,2,3,247.5,0.0275,135,0.015,1.6,2.5,0.8,25.67,8,0.32,NA,NA,NA
582,"TDr1766014","Abuja",2020,1,3,"Augmented","SCG",0.416,3,2,185,0.020555556,135,0.015,2,1.666666667,0.666666667,6.67,6.67,0.4,NA,NA,NA
420,"TDr1774009","Abuja",2020,1,1,"Augmented","SCG",0.344,1,3,180,0.02,105,0.011666667,0.2,2,0.2,24,2,0.1,NA,NA,NA
2156,"TDr1716061","Ibadan",2020,2,2,"Partial replicated","TFE",NA,1,2,180,0.015,NA,NA,0.28,1,0.28,2.8,2.8,0.28,NA,NA,NA
484,"TDr1756038","Abuja",2020,1,2,"Augmented","SCG",0.246,3,3,200,0.022222222,115,0.012777778,1.8,1,0.6,29,6,0.6,NA,NA,NA
24,"TDrMeccakusa","Abuja",2020,1,5,"Augmented","APT",0.75,2,2,201,0.022333333,129,0.014333333,2.1,3,1.05,4.2,4.2,0.35,NA,NA,NA
301,"TDr1619001","Ibadan",2020,3,15,"Lattice","PPT1",0.66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"TDr1531005","Abuja",2020,1,17,"Augmented","APT",0.75,2,2,202.5,0.0225,135,0.015,1,1,0.5,2,2,0.5,NA,NA,NA
130,"TDr1614703","Ibadan",2020,1,5,"Lattice","PPT2",0.42,5,2,321,0.02675,132,0.011,16.63,1,3.3,33.26,33.26,3.33,30.67,0,-0.19
347,"TDr8902665","Ibadan",2020,3,21,"Lattice","PPT3",0.74,5,3,345,0.02875,193,0.016083333,3.55,2,0.7,7.1,7.1,0.36,30.67,0,-0.18
31,"TDr9519177","Ibadan",2020,1,7,"Augmented","APT",0.75,3,2,195,0.01625,145,0.012083333,7.2,1,2.4,14.4,14.4,2.4,33.33,1,-0.3
1211,"TDr1741007","Ibadan",2020,1,1,"Partial replicated","TFE",NA,2,2,210,0.0175,105,0.00875,1.85,1,0.93,9.25,9.25,0.93,NA,NA,NA
237,"TDr1617604","Ibadan",2020,2,13,"Lattice","PPT3",0.76,5,NA,285,0.02375,193,0.016083333,13.63,1.2,2.7,27.26,27.26,2.27,18,2,-0.08
1152,"TDr1716040","Ikenne",2020,1,1,"Partial replicated","TFE",NA,1,2,195,0.01625,150,0.0125,0.72,1,0.72,1.8,7.2,0.72,NA,NA,NA
21,"TDr9519177","Ubiaja",2020,1,5,"Augmented","APT",0.62,3,2,140,0.011666667,105,0.00875,1.51,1.666666667,0.503333333,3.02,3.02,0.3,32.67,1,-0.38
2214,"TDr1741022","Ibadan",2020,2,2,"Partial replicated","TFE",NA,8,3,180,0.015,120,0.01,2.6,1.38,0.33,2.6,3.25,0.24,29.11,2,0.02
634,"TDr1760012","Abuja",2020,1,4,"Augmented","SCG",0.45,3,3,215,0.023888889,135,0.015,4.9,1.333333333,1.633333333,16.33,16.33,1.23,NA,NA,NA
40,"TDrMeccakusa","Ibadan",2020,1,8,"Augmented","APT",0.69,5,2,237,0.01975,228,0.019,16.5,1.6,3.3,33,33,2.06,30.67,0,-0.16
13002,"TDr9519177","Ibadan",2020,1,13,"Augmented","SCG",0.51,5,3,345,0.02875,120,0.01,6.97,2,1.39,13.94,13.94,0.7,30,0,-0.06
107,"TDr9519177","Ibadan",2020,1,22,"Augmented","APT",0.75,5,2,273,0.02275,135,0.01125,15.81,2.2,3.2,31.62,31.62,1.44,30.67,3,-0.65
514,"TDr1759004","Abuja",2020,1,2,"Augmented","SCG",0.336,3,3,225,0.025,135,0.015,3.1,3,1.033333333,21,10.33,0.34,NA,NA,NA
2110,"TDr1719025","Ibadan",2020,2,2,"Partial replicated","TFE",NA,NA,2,210,0.0175,150,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,NA
715,"TDr1776011","Abuja",2020,1,6,"Augmented","SCG",0.351,3,3,240,0.026666667,135,0.015,2.7,3,0.9,9,9,0.3,NA,NA,NA
1166,"TDr1716093","Ibadan",2020,1,1,"Partial replicated","TFE",NA,5,2,210,0.0175,105,0.00875,1.03,1,0.21,1.47,2.06,0.21,20.21,2,0
1217,"TDr1741050","Ibadan",2020,1,1,"Partial replicated","TFE",NA,2,2,240,0.02,135,0.01125,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"TDr1669010","Ibadan",2020,1,4,"Lattice","PPT1",0.85,4,2,297.5,0.024791667,198.75,0.0165625,13.79,1.5,3.45,27.58,34.48,2.3,38.67,0,0.36
16,"TDr9519177","Kabba",2020,1,4,"Augmented","APT",0.409,4,2,206.25,0.022916667,146.25,0.01625,1.9,1,0.175,1.4,1.4,0.18,NA,NA,NA
1185,"TDr1716030","Ikenne",2020,1,1,"Partial replicated","TFE",NA,1,1,180,0.015,165,0.01375,0.13,1,0.13,0.65,1.3,0.13,NA,NA,NA
222,"TDr1618507","Ibadan",2020,2,11,"Lattice","PPT3",0.71,5,3,290,0.024166667,150,0.0125,9.35,1.4,1.9,23.38,18.7,1.34,21.33,3,0.34
1141,"TDr1719063","Ibadan",2020,1,1,"Partial replicated","TFE",NA,1,2,210,0.0175,NA,NA,0.08,1,0.08,0.2,0.8,0.08,NA,NA,NA
2087,"TDr1739096","Ikenne",2020,2,2,"Partial replicated","TFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1153,"TDr1716076","Ibadan",2020,1,1,"Partial replicated","TFE",NA,2,2,240,0.02,150,0.0125,0.37,1.5,0.19,0.74,1.85,0.12,NA,NA,NA
2087,"TDr1739096","Ibadan",2020,2,2,"Partial replicated","TFE",NA,3,2,180,0.015,NA,NA,1.64,1,0.55,5.47,5.47,0.55,36,2,-0.13
2069,"TDr1739029","Ibadan",2020,2,2,"Partial replicated","TFE",NA,3,2,210,0.0175,NA,NA,2.42,1,0.81,4.03,8.07,0.81,NA,NA,NA
231,"TDr1685017AB","Ibadan",2020,2,12,"Lattice","PPT2",0.16,2,3,300,0.025,172.5,0.014375,7,1,3.5,14,35,3.5,30,2,-0.15
1041,"TDr1738085","Ibadan",2020,1,1,"Partial replicated","TFE",NA,3,2,240,0.02,210,0.0175,0.6,0.67,0.2,1.5,2,0.3,NA,1,0.02
34,"TDr9518544","Kabba",2020,1,7,"Augmented","APT",0.239,4,2,187.5,0.020833333,146.25,0.01625,2.7,1,0.3,1.8,1.8,0.3,NA,NA,NA
2117,"TDr1719028","Ibadan",2020,2,2,"Partial replicated","TFE",NA,1,1,210,0.0175,NA,NA,0.02,1,0.02,0.1,0.2,0.02,NA,NA,NA
650,"TDr1768002","Abuja",2020,1,5,"Augmented","SCG",0.45,3,3,210,0.023333333,140,0.015555556,4.1,1.333333333,1.366666667,13.67,13.67,1.03,NA,NA,NA
2125,"TDr1719067","Ikenne",2020,2,2,"Partial replicated","TFE",NA,3,3,165,0.01375,165,0.01375,2.55,1.33,0.85,8.5,8.5,0.64,NA,0,NA
2215,"TDr1741072","Ibadan",2020,2,2,"Partial replicated","TFE",NA,2,1,195,0.01625,105,0.00875,0.09,0.5,0.05,0.3,0.45,0.09,NA,NA,NA
113,"TDr9518544","Kabba",2020,1,23,"Augmented","APT",0.255,5,3,180,0.02,144,0.016,3.2,1.4,0.84,8.4,8.4,0.6,NA,NA,NA
44,"TDr8902665","Abuja",2020,1,9,"Augmented","APT",0.275,5,2,183,0.020333333,147,0.016333333,2.5,1.2,0.5,5,5,0.42,NA,NA,NA
93,"TDrMeccakusa","Abuja",2020,1,19,"Augmented","APT",0.75,4,2,203.25,0.022583333,158.25,0.017583333,2.9,2,0.725,5.8,5.8,0.36,NA,NA,NA
1113,"TDr1719029","Ikenne",2020,1,1,"Partial replicated","TFE",NA,6,3,165,0.01375,135,0.01125,4.49,0.83,0.75,6.41,7.48,0.9,NA,1,NA
1013,"TDr1738064","Ibadan",2020,1,1,"Partial replicated","TFE",NA,3,2,225,0.01875,210,0.0175,0.65,1.33,0.22,0.93,2.17,0.16,19.81,2,0.06
13,"TDr1525113","Kabba",2020,1,3,"Augmented","APT",0.45,1,2,187.5,0.020833333,120,0.013333333,1.1,1.4,1.12,11.2,11.2,0.8,NA,NA,NA
49,"TDr9519177","Abuja",2020,1,10,"Augmented","APT",0.75,1,2,187.5,0.020833333,135,0.015,1,2,1,2,2,0.5,NA,NA,NA
45,"TDr9519177","Ubiaja",2020,1,9,"Augmented","APT",0.62,3,2,190,0.015833333,105,0.00875,2.33,1.666666667,0.776666667,5.83,4.66,0.47,20,3,-0.49
2128,"TDr1719037","Ikenne",2020,2,2,"Partial replicated","TFE",NA,1,3,135,0.01125,NA,NA,0.655,1,0.66,6.55,6.55,0.66,NA,NA,NA
138,"TDr1620007","Ibadan",2020,1,7,"Lattice","PPT1",0.72,5,3,335.25,0.0279375,219,0.01825,11.61,1,2.32,23.22,23.22,2.32,32.67,0,-0.06
580,"TDr1763004","Abuja",2020,1,3,"Augmented","SCG",0.31,3,2,245,0.027222222,140,0.015555556,1.9,2.333333333,0.633333333,6.33,6.33,0.27,NA,NA,NA
473,"TDr1760028","Abuja",2020,1,2,"Augmented","SCG",0.327,3,2,200,0.022222222,160,0.017777778,2.2,2.666666667,0.733333333,29.67,7.33,0.28,NA,NA,NA
128,"TDr1613907","Ibadan",2020,1,5,"Lattice","PPT2",0.5,5,3,282,0.0235,144,0.012,12.17,1.2,2.4,24.34,24.34,2.03,30.67,1,-0.04
2026,"TDr1738018","Ikenne",2020,2,2,"Partial replicated","TFE",NA,6,3,195,0.01625,150,0.0125,4.83,1.33,0.81,8.05,8.05,0.6,NA,0,NA
601,"TDr1768029","Abuja",2020,1,4,"Augmented","SCG",0.45,3,3,195,0.021666667,105,0.011666667,4.3,1.333333333,1.433333333,14.33,14.33,1.08,NA,NA,NA
555,"TDr1713901","Abuja",2020,1,3,"Augmented","SCG",0.316,3,3,270,0.03,130,0.014444444,4.4,3,1.466666667,14.67,14.67,0.49,NA,NA,NA
315,"TDr1615502","Ibadan",2020,3,15,"Lattice","PPT2",0.23,4,2,285,0.02375,150,0.0125,22.86,1.5,5.7,45.72,57.15,3.81,24,0,0
60,"TDrMeccakusa","Ubiaja",2020,1,12,"Augmented","APT",0.64,4,3,176.25,0.0146875,108.75,0.0090625,2.71,1.75,0.6775,6.78,5.42,0.39,23.33,0,-0.05
309,"TDr1680013AB","Ibadan",2020,3,14,"Lattice","PPT2",0.35,3,3,285,0.02375,160,0.013333333,6.13,1.7,2,12.26,20.43,1.23,31.33,0,-0.02
1077,"TDr1739094","Ikenne",2020,1,1,"Partial replicated","TFE",NA,5,NA,165,0.01375,150,0.0125,1.97,1.2,0.39,3.28,3.94,0.33,NA,0,NA
11,"TDr9519177","Kabba",2020,1,3,"Augmented","APT",0.548,4,2,187.5,0.020833333,148.75,0.016527778,1.2,2,0.22,2.2,2.2,0.11,NA,NA,NA
40,"TDrMeccakusa","Ubiaja",2020,1,8,"Augmented","APT",0.75,5,2,165,0.01375,117,0.00975,4.54,1.8,0.908,9.08,9.08,0.5,30.88,1,-0.04
112,"TDr9519177","Ibadan",2020,1,23,"Augmented","APT",0.75,4,2,236.25,0.0196875,165,0.01375,12.48,2.3,3.1,24.96,24.96,1.39,27.33,2,-0.61
576,"TDr1760001","Abuja",2020,1,3,"Augmented","SCG",0.394,1,3,240,0.026666667,150,0.016666667,1.5,3,1.5,15,15,0.5,NA,NA,NA
1165,"TDr1716072","Ibadan",2020,1,1,"Partial replicated","TFE",NA,1,2,180,0.015,105,0.00875,0.16,1,0.16,0.32,1.6,0.16,NA,NA,NA
542,"TDr1760008","Abuja",2020,1,3,"Augmented","SCG",0.341,1,3,225,0.025,135,0.015,0.8,3,0.8,8,8,0.27,NA,NA,NA
308,"TDr1621019","Ibadan",2020,3,16,"Lattice","PPT1",0.71,1,2,345,0.02875,225,0.01875,3.85,1,3.85,7.7,38.5,3.85,NA,NA,NA
1207,"TDr1741065","Ikenne",2020,1,1,"Partial replicated","TFE",NA,14,3,225,0.01875,180,0.015,2.96,1.14,0.21,2.11,2.11,0.19,NA,1,NA
1127,"TDr1719021","Ibadan",2020,1,1,"Partial replicated","TFE",NA,2,2,210,0.0175,105,0.00875,1.4,1,0.7,2.33,7,0.7,22.67,0,0.01
2041,"TDr1738085","Ikenne",2020,2,2,"Partial replicated","TFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"TDr9518544","Ubiaja",2020,1,22,"Augmented","APT",0.41,3,3,180,0.015,105,0.00875,3.41,3.333333333,1.136666667,11.37,6.82,0.34,27.33,1,0.12
17004,"TDr17089014","Ibadan",2020,1,17,"Augmented","SCG",0.52,5,2,336,0.028,183,0.01525,10.95,1.4,2.19,21.9,21.9,1.56,31.33,3,-0.4
3004,"TDr17084001","Ibadan",2020,1,3,"Augmented","SCG",0.5,1,2,330,0.0275,120,0.01,1.6,1,1.6,3.2,16,1.6,30,2,-0.51
450,"TDr9519177","Abuja",2020,1,1,"Augmented","SCG",0.405,3,3,235,0.026111111,155,0.017222222,4.5,3.666666667,1.5,20,15,0.41,NA,NA,NA
1216,"TDr1741076","Ikenne",2020,1,1,"Partial replicated","TFE",NA,7,2,195,0.01625,135,0.01125,0.67,1.29,0.1,0.67,0.96,0.07,NA,NA,NA
53,"TDrMeccakusa","Ubiaja",2020,1,11,"Augmented","APT",0.67,3,2,165,0.01375,108.75,0.0090625,3.72,1.333333333,1.24,9.3,7.44,0.93,29.33,2,-0.12
1074,"TDr1739055","Ikenne",2020,1,1,"Partial replicated","TFE",NA,5,3,210,0.0175,165,0.01375,2.135,1.8,0.43,2.37,4.27,0.24,NA,1,NA
10,"TDr1525224","Abuja",2020,1,2,"Augmented","APT",0.647,4,2,183.75,0.020416667,138.75,0.015416667,2.3,0.75,0.575,4.6,4.6,0.77,NA,NA,NA
1151,"TDr1716090","Ibadan",2020,1,1,"Partial replicated","TFE",NA,2,2,210,0.0175,135,0.01125,0.27,1,0.14,0.68,1.35,0.14,NA,NA,NA
312,"TDr1618705","Ibadan",2020,3,16,"Lattice","PPT3",0.79,5,3,345,0.02875,187,0.015583333,8.95,1,1.8,17.9,17.9,1.79,22.67,1,-0.4
496,"TDr1773014","Abuja",2020,1,2,"Augmented","SCG",0.431,3,3,190,0.021111111,135,0.015,5.6,1.333333333,1.866666667,23.67,18.67,1.4,NA,NA,NA
2127,"TDr1719021","Ibadan",2020,2,2,"Partial replicated","TFE",NA,1,2,240,0.02,NA,NA,0.22,2,0.22,0.24,2.2,0.11,NA,NA,NA
82,"TDr9519177","Ubiaja",2020,1,17,"Augmented","APT",0.51,4,3,168.75,0.0140625,101.25,0.0084375,2.98,2.75,0.745,7.45,5.96,0.27,27.33,2,-0.32
729,"TDr1766003","Abuja",2020,1,6,"Augmented","SCG",0.45,3,3,255,0.028333333,135,0.015,5.4,1.666666667,1.8,18,18,1.08,NA,NA,NA
29,"TDr8902665","Ibadan",2020,1,6,"Augmented","APT",0.75,5,2,201,0.01675,153,0.01275,16.4,2.2,3.3,32.8,32.8,1.49,30,0,-0.17
227,"TDr1621012","Ibadan",2020,2,12,"Lattice","PPT1",0.73,2,3,337.5,0.028125,210,0.0175,10.45,1,5.23,20.9,52.25,5.23,27.33,2,-0.29
452,"TDr1756031","Abuja",2020,1,1,"Augmented","SCG",0.276,3,3,180,0.02,130,0.014444444,5,3,1.666666667,12.67,16.67,0.56,NA,NA,NA
98,"TDr9518544","Abuja",2020,1,20,"Augmented","APT",0.75,3,3,195,0.021666667,155,0.017222222,3.7,3,1.233333333,7.4,7.4,0.41,NA,NA,NA
